节点A,节点B,关系,A类型,B类型,形状A,形状B
李颖琦,上海机场,独立董事,人,公司,0,1
胡稚鸿,上海机场,董事兼总经理,人,公司,0,1
何万蓬,上海机场,独立董事,人,公司,0,1
莘澍钧,上海机场,董事长,人,公司,0,1
尤建兴,上海机场,独立董事,人,公司,0,1
王旭,上海机场,董事兼副总经理,人,公司,0,1
唐波,上海机场,董事,人,公司,0,1
张克俭,白云机场,董事,人,公司,0,1
刘建强,白云机场,董事,人,公司,0,1
许汉忠,白云机场,独立董事,人,公司,0,1
王晓勇,白云机场,董事兼总经理,人,公司,0,1
邱嘉臣,白云机场,董事长,人,公司,0,1
毕井双,白云机场,独立董事,人,公司,0,1
钟鸣,白云机场,董事,人,公司,0,1
饶品贵,白云机场,独立董事,人,公司,0,1
邢益强,白云机场,独立董事,人,公司,0,1
覃章高,白云机场,独立董事,人,公司,0,1
王占学,航发动力,独立董事,人,公司,0,1
颜建兴,航发动力,副董事长,人,公司,0,1
杨森,航发动力,董事长,人,公司,0,1
李金林,航发动力,独立董事,人,公司,0,1
杜剑,航发动力,独立董事,人,公司,0,1
刘志猛,航发动力,独立董事,人,公司,0,1
杨先锋,航发动力,董事,人,公司,0,1
张姿,航发动力,董事,人,公司,0,1
孙洪伟,航发动力,董事,人,公司,0,1
贾大风,航发动力,董事,人,公司,0,1
李军,航发动力,董事,人,公司,0,1
李军,鲁阳节能,独立董事,人,公司,0,1
鹿成滨,鲁阳节能,董事长,人,公司,0,1
沈佳云,鲁阳节能,独立董事,人,公司,0,1
胡命基,鲁阳节能,独立董事,人,公司,0,1
鹿超,鲁阳节能,董事兼总经理,人,公司,0,1
鹿晓琨,鲁阳节能,董事兼副总经理,人,公司,0,1
