节点A,节点B,关系,A类型,B类型,形状A,形状B
妙蛙种子,关都地区,分布,草,地区,0,1
小火龙,关都地区,分布,火,地区,0,1
杰尼龟,关都地区,分布,水,地区,0,1
皮卡丘,关都地区,分布,电,地区,0,1
喵喵,关都地区,分布,一般,地区,0,1
可达鸭,关都地区,分布,水,地区,0,1
凯西,关都地区,分布,超能,地区,0,1
大舌头,关都地区,分布,一般,地区,0,1
伊布,关都地区,分布,一般,地区,0,1
超梦,关都地区,分布,超能,地区,0,1
水伊布,关都地区,分布,水,地区,0,1
雷伊布,关都地区,分布,电,地区,0,1
火伊布,关都地区,分布,火,地区,0,1
伊布,火伊布,子代,一般,水,0,0
伊布,雷伊布,子代,一般,电,0,0
伊布,水伊布,子代,一般,火,0,0
菊草叶,城都地区,分布,草,地区,0,1
小锯鳄,城都地区,分布,水,地区,0,1
火球鼠,城都地区,分布,火,地区,0,1
哈力栗,卡洛斯地区,分布,草,地区,0,1
火狐狸,卡洛斯地区,分布,火,地区,0,1
呱呱泡蛙,卡洛斯地区,分布,水,地区,0,1
凯西,城都地区,分布,超能,地区,0,1
喵喵,城都地区,分布,一般,地区,0,1
皮卡丘,城都地区,分布,电,地区,0,1
大舌头,城都地区,分布,一般,地区,0,1
可达鸭,城都地区,分布,水,地区,0,1
熔岩虫,城都地区,分布,火,地区,0,1
雷丘,城都地区,分布,雷,地区,0,1
雷丘,关都地区,分布,雷,地区,0,1
皮卡丘,雷丘,子代,雷,雷,0,0
